target,arm,k,mean,std,count
resp_rate,v8_backbone,2,0.00359442864455418,0.003926440062182866,5
resp_rate,v8_backbone,4,0.00759022549052972,0.0037061085228318595,5
resp_rate,v8_backbone,8,0.01241715889526256,0.0075747536952188235,5
resp_rate,v8_backbone,16,0.02090797369910066,0.007358878819259305,5
resp_rate,v8_backbone,32,0.0262262827409597,0.0095651901718879,5
resp_rate,v8_backbone,64,0.027117712697246842,0.009886891938140989,5
resp_rate,v8_backbone,128,0.02627805705343536,0.010012588366252174,5
resp_rate,v8_backbone,384,0.02540895047630102,0.01042751690038335,5
resp_rate,v8_latent,2,0.0049591541267408204,0.0038109149139169914,5
resp_rate,v8_latent,4,0.00665700641485082,0.0040553111654961956,5
resp_rate,v8_latent,8,0.0097858737053592,0.004556864860656585,5
resp_rate,v8_latent,16,0.01046368074369092,0.004962464683272611,5
resp_rate,v8_latent,32,0.01397638562908014,0.007957812424294348,5
